Filename,alert_type,Frame_Number,Id,label,Class,FrontDetected,SideDetected,RearDetected,InTraffic,InTheSameLane,MovingSideWays,Rotation,AbsAngle,AngleToCloserSide,AngleFromTop,AngleFromHorizon,Distance,DistanceY,DistanceX,VectorToSide,BoxBottom,BoxTop,BoxArea,AreaRatio8Frames,AreaRatio4Frames,MedianDistance,MedianDistanceX,MedianDistanceY,AbsMedianAngle,MedianVelocity,MedianAngularVelocity,AnglesSTD,DistancesSTD,BoxAreaSTD,VelocitySTD,DistanceXInCollision,PredictedX,MaxMinDist8Frames,MaxMinBoxArea8Frames,MaxMinAngle8Frames,DistanceOverArea,TimeToCollision,TimeToCollisionFullSeries,TimeToScreenBottom,TimeToCollisionBoxArea,TimeToCollisionBoxAreaFullSeries,DistancesFit.Intercept,DistancesFit.Slope,YFit.Intercept,YFit.Slope,AbsXFit.Intercept,AbsXFit.Slope,AbsAnglesFit.Intercept,AbsAnglesFit.Slope,AbsAnglesToCloserSideFit.Intercept,AbsAnglesToCloserSideFit.Slope,AbsAnglesToFurtherSideFit.Intercept,AbsAnglesToFurtherSideFit.Slope,AbsAngularVelocityFit.Intercept,AbsAngularVelocityFit.Slope,BoxAreasFit.Intercept,BoxAreasFit.Slope,BoxBottomFit.Intercept,BoxBottomFit.Slope,BoxWidthsFit.Intercept,BoxWidthsFit.Slope,BoxHeightsFit.Intercept,BoxHeightsFit.Slope,RotationsFit.Intercept,RotationsFit.Slope,VelocityFit.Intercept,VelocityFit.Slope,DistancesSlopeOverSTD,AngleSlopeOverSTD,BoxAreaSlopeOverSTD,XFitRadius,BoxRight,BoxLeft,DistanceFromClosestCornerPower,DistanceFromClosestCorner,BoxCenterMovementInX,BoxCenterMovementInY,BoxCenterNormalizedMovementInX,PhysicalRotation
Safe_Distance_01.mp4,Safe_Distance,49,555,1,0,0,0,1,0,1,0,3.142,17.533,-8.057,1.191,0.55,3.065,2.923,0.923,-0.43,60.431,30.456,8.985,1.118,1.068,3.245,0.919,3.114,16.666,-0.066,0.19,0.402,0.117,0.558,0.011,0.551,0.885,0.366,1.791,1.387,0.341,51.749,60.233,0,-7.981,-3.979,3.42,-0.05,0.946,-0.008,0.946,-0.008,16.2,0.133,7.046,0.286,34.763,0.358,0.383,-0.055,7.288,0.239,0.606,0,0.181,0.003,0.27,0.004,3.142,0,-0.08,0.004,0.008,0.061,0.183,0.918,67.214,46.849,250127504,2194.968,-0.009,-0.037,0.007,2.836
Safe_Distance_01.mp4,Safe_Distance,50,555,1,0,0,0,1,0,1,0,3.142,18.054,-7.778,1.342,0.625,3.008,2.86,0.932,-0.407,60.489,29.958,9.321,1.121,1.061,3.198,0.919,3.064,16.766,-0.063,0.19,0.598,0.113,0.548,0.009,0.868,0.915,0.349,1.729,1.908,0.323,59.598,60.7,0,-7.981,-3.98,3.369,-0.049,0.922,-0.001,0.922,-0.001,15.804,0.275,7.727,0.092,35.019,0.423,0.3,-0.032,7.481,0.238,0.605,0,0.186,0.003,0.274,0.004,3.142,0,-0.076,0.004,0.007,0.241,0.178,0.851,67.525,46.964,351541920,2205.79,-0.017,-0.039,0.007,2.826
Safe_Distance_01.mp4,Safe_Distance,51,555,1,0,0,0,1,0,1,0,3.142,18.716,-7.734,1.256,0.623,2.965,2.808,0.951,-0.399,60.896,29.934,9.587,1.125,1.065,3.132,0.919,2.997,16.889,-0.059,0.19,0.846,0.113,0.573,0.008,1.184,0.939,0.334,1.697,2.571,0.309,62.892,60.109,0,-7.981,-3.982,3.302,-0.048,0.903,0.004,0.903,0.004,15.607,0.366,8.156,-0.031,35.15,0.496,0.197,-0.002,7.736,0.253,0.603,0,0.19,0.003,0.279,0.004,3.142,0,-0.071,0.003,0.007,0.408,0.19,0.824,67.891,47.013,267015312,2210.323,0.023,-0.029,-0.007,2.815
Safe_Distance_01.mp4,Safe_Distance,52,555,1,0,0,0,1,0,1,0,3.142,19.345,-7.966,1.132,0.6,2.904,2.74,0.962,-0.402,61.428,29.758,10.03,1.132,1.072,3.084,0.919,2.945,17.255,-0.054,0.19,1.056,0.118,0.646,0.007,1.322,0.955,0.352,1.939,3.2,0.29,53.919,56.329,0,-7.979,-3.977,3.261,-0.051,0.891,0.008,0.891,0.008,15.655,0.457,8.206,-0.045,35.405,0.565,0.055,0.038,7.896,0.281,0.601,0.001,0.192,0.003,0.281,0.005,3.142,0,-0.065,0.003,0.008,0.633,0.238,0.82,68.271,46.964,152623296,2205.665,0.028,-0.018,-0.007,2.804
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,96,572,1,1,0,0,1,1,1,0,3.142,1.595,29.152,1.546,1.437,3.238,3.236,0.09,-1.577,60.256,4.035,31.608,1.119,1.06,3.515,0.601,3.459,9.81,-0.063,-2.489,5.729,0.149,1.778,0,5.436,0.114,0.437,4.88,15.714,0.102,41.528,51.402,0,-7.975,-3.975,3.735,-0.063,-1.156,0.159,1.156,-0.159,18.521,-2.489,9.179,2.96,39.211,-1.182,2.489,0,25.553,0.763,0.571,0.004,0.233,0.004,0.507,0.007,3.142,0,-0.063,0,0.012,16.99,1.598,11.418,62.47,36.285,196886704,1316.747,-0.186,0.012,0,3.114
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,97,572,1,1,0,1,1,1,1,0,2.933,2.976,-29.767,1.49,1.182,3.129,3.125,0.162,-1.553,61.079,3.546,33.101,1.134,1.06,3.42,0.329,3.403,5.502,-0.068,-2.527,6.025,0.167,2.084,0.005,5.159,0.376,0.486,6.049,17.8,0.095,38.545,41.921,0,-7.972,-3.974,3.678,-0.074,-0.877,0.157,0.877,-0.157,14.479,-2.565,11.152,2.397,37.499,-1.311,2.489,0.076,26.355,0.899,0.576,0.005,0.237,0.004,0.514,0.008,3.142,0,-0.063,-0.011,0.016,19.438,2.346,10.579,64.798,37.479,198947568,1404.79,-0.18,0.011,0,2.985
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,98,572,1,1,0,0,1,1,1,0,3.142,5.33,-29.175,1.459,1.076,3.04,3.027,0.282,-1.482,61.635,3.147,34.208,1.141,1.076,3.339,0.184,3.333,3.146,-0.074,-2.565,6.262,0.186,2.332,0.008,4.475,0.508,0.549,6.874,18.65,0.089,33.804,35.716,0,-7.968,-3.971,3.629,-0.083,-0.722,0.154,0.722,-0.154,12.471,-2.664,15.861,1.051,40.293,-2.395,2.477,0.088,26.916,1.028,0.579,0.005,0.238,0.005,0.52,0.009,3.142,0,-0.064,-0.01,0.02,21.141,3.114,9.973,66.075,37.952,195616432,1440.464,-0.169,0.011,0.001,3.049
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,99,572,1,1,0,0,1,1,1,0,3.142,6.469,-29.15,1.466,1.101,2.981,2.962,0.336,-1.452,62.001,2.852,34.987,1.14,1.069,3.269,0.113,3.267,1.974,-0.078,-2.53,6.021,0.192,2.419,0.009,4.053,0.525,0.587,7.467,19.026,0.085,32.875,34.414,0,-7.969,-3.971,3.563,-0.084,-0.609,0.142,0.609,-0.142,10.704,-2.494,44.234,-7.055,71.165,-11.309,2.471,0.039,27.607,1.05,0.582,0.005,0.239,0.006,0.526,0.009,3.142,0,-0.066,-0.008,0.022,19.659,3.401,8.415,66.768,38.079,198493536,1450.148,-0.156,0.011,0.001,3.029
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,100,572,1,1,0,0,0,1,1,0,3.02,6.975,-29.318,1.452,1.059,2.936,2.915,0.357,-1.438,62.209,2.669,35.45,1.133,1.046,3.183,0.036,3.181,0.69,-0.08,-2.494,4.943,0.179,2.234,0.008,4.962,0.557,0.526,6.521,14.038,0.083,46.076,35.491,0,-7.972,-3.981,3.462,-0.08,-0.369,0.116,0.369,-0.116,6.918,-2.174,28.052,-8.942,40.391,-11.901,2.608,-0.057,28.87,0.995,0.589,0.005,0.246,0.006,0.538,0.009,3.142,0,-0.07,-0.005,0.019,13.421,2.892,5.49,67.139,38.062,193064320,1448.87,-0.142,0.011,0.001,3.142
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,101,572,1,1,0,0,0,1,1,0,3.017,7.154,-29.529,1.451,1.059,2.904,2.882,0.362,-1.431,62.347,2.539,35.77,1.117,1.029,3.085,0.222,3.076,4.153,-0.077,-2.491,4.292,0.165,2.037,0.007,5.844,0.643,0.473,5.696,11.095,0.081,63.625,37.704,0,-7.976,-3.988,3.34,-0.073,-0.105,0.093,0.105,-0.093,1.965,-1.748,0.953,-8.604,3.174,-11.012,2.862,-0.148,30.548,0.888,0.598,0.004,0.256,0.006,0.553,0.008,3.147,-0.002,-0.072,-0.002,0.015,7.901,2.204,3.507,67.314,38.003,191127136,1444.352,-0.117,0.01,0.001,3.142
