Filename,alert_type,Frame_Number,Id,label,passed,Class,FrontDetected,SideDetected,RearDetected,InTraffic,InTheSameLane,MovingSideWays,Rotation,AbsAngle,MinAngle,MaxAngle,AngleToCloserSide,AngleFromTop,AngleFromHorizon,Distance,MaxDistance,MinDistance,DistanceY,DistanceX,VectorToSide,BoxBottom,BoxTop,MaxBoxBottom,MinBoxBottom,BoxArea,MaxBoxArea,MinBoxArea,AreaRatio8Frames,AreaRatio4Frames,MedianDistance,MedianDistanceX,MedianDistanceY,AbsMedianAngle,MedianVelocity,MedianAngularVelocity,AnglesSTD,DistancesSTD,BoxAreaSTD,VelocitySTD,DistanceXInCollision,PredictedX,MaxMinDist8Frames,MaxMinBoxArea8Frames,MaxMinAngle8Frames,DistanceOverArea,TimeToCollision,TimeToCollisionFullSeries,TimeToScreenBottom,TimeToCollisionBoxArea,TimeToCollisionBoxAreaFullSeries,DistancesFit.Intercept,DistancesFit.Slope,YFit.Intercept,YFit.Slope,AbsXFit.Intercept,AbsXFit.Slope,AbsAnglesFit.Intercept,AbsAnglesFit.Slope,AbsAnglesToCloserSideFit.Intercept,AbsAnglesToCloserSideFit.Slope,AbsAnglesToFurtherSideFit.Intercept,AbsAnglesToFurtherSideFit.Slope,AbsAngularVelocityFit.Intercept,AbsAngularVelocityFit.Slope,BoxAreasFit.Intercept,BoxAreasFit.Slope,BoxBottomFit.Intercept,BoxBottomFit.Slope,BoxWidthsFit.Intercept,BoxWidthsFit.Slope,BoxHeightsFit.Intercept,BoxHeightsFit.Slope,RotationsFit.Intercept,RotationsFit.Slope,VelocityFit.Intercept,VelocityFit.Slope,DistancesSlopeOverSTD,AngleSlopeOverSTD,BoxAreaSlopeOverSTD,XFitRadius,BoxRight,BoxLeft,MinLeft,MaxRight,DistanceFromClosestCornerPower,DistanceFromClosestCorner,BoxCenterMovementInX,BoxCenterMovementInY,BoxCenterNormalizedMovementInX,PhysicalRotation
Front_Alert_False_24.mp4,Front_Collision,39,311,0,1,0,0,0,1,0,1,1,3.142,3.556,3.529,12.614,-4.693,1.525,1.163,6.987,11.305,6.987,6.974,0.433,-0.572,48.995,37.244,49.088,45.786,1.381,1.381,0.933,1.225,1.114,7.867,0.569,7.846,4.137,-0.243,0.548,1.301,0.844,0.142,0.153,1.707,0.112,2.395,0.448,3.395,5.059,25.957,18.819,0,-7.966,-3.969,9.048,-0.337,0.923,-0.101,0.923,-0.101,5.963,-0.522,1.077,0.709,12.994,-0.339,0.449,0.028,0.984,0.056,0.477,0.002,0.073,0.001,0.1,0.003,3.142,0,-0.036,-0.059,0.323,0.71,0.01,4.961,55.921,47.645,47.645,55.921,439597824,2270.207,0.046,0.016,0.101,3.08
Front_Alert_False_Junction_20.mp4,Front_Collision,1472,1113,0,1,1,0,1,0,0,1,1,1.571,21.907,21.907,25.53,-0.001,1.221,0.16,4.627,6.483,4.627,4.293,1.726,0,52.883,25.783,52.883,51.006,7.344,7.344,3.741,1.178,1.062,4.908,1.926,4.514,23.101,-0.1,0.486,1.146,0.223,0.583,0.004,2.903,1.58,0.655,1.709,3.383,0.63,66.255,45.874,0,-7.963,-3.975,5.249,-0.097,2.196,-0.077,2.196,-0.077,24.803,-0.486,6.626,-0.983,39.16,-0.113,0.369,0.059,5.641,0.255,0.521,0.001,0.187,0.003,0.238,0.005,2.183,-0.175,-0.105,0.003,0.028,0.698,0.19,7.189,71.317,49.999,49.999,71.317,548986496,2500.151,0.05,-0.024,0.017,1.953
Front_Alert_False_Traffic_71.mp4,Front_Collision,20,4753,0,1,0,0,0,0,1,1,1,3.027,6.575,2.008,6.575,-1.901,1.459,0.583,9.516,10.65,8.906,9.454,1.09,-0.316,53.606,42.938,53.606,51.007,1.138,1.138,0.742,1.096,1.065,10.349,0.856,10.319,4.683,0.083,0.333,1.243,0.378,0.055,0.099,3.309,1.228,1.133,0.154,3.361,8.362,33.181,66.016,0,-7.986,-3.98,10.863,-0.147,0.566,0.083,0.566,0.083,2.832,0.529,4.212,-0.331,9.81,0.697,0.159,0.05,0.941,0.023,0.531,0.001,0.065,0.002,0.097,0.001,2.999,0.004,0.208,-0.036,0.065,0.756,0.001,3.054,56.883,49.134,47.792,56.883,511149760,2414.327,0.042,0.01,-0.036,3.142
Front_Alert_False_Junction_94.mp4,Front_Collision,30,761,0,1,1,0,1,0,0,1,1,1.571,15.57,4.949,15.57,-5.852,1.321,0.268,6.87,11.907,6.87,6.618,1.844,-0.7,53.799,32.008,53.799,51.627,4.749,4.749,1.662,1.315,1.149,7.897,1.804,7.691,13.13,-0.116,0.183,1.405,0.56,0.573,0.05,2.202,1.883,1.472,1.528,3.359,1.447,26.02,28.605,0,-7.926,-3.937,8.732,-0.239,1.742,0.018,1.742,0.018,11.228,0.543,1.016,0.545,22.553,1.369,0.119,0.018,2.743,0.247,0.51,0.003,0.119,0.01,0.168,0.006,0.072,0.231,-0.048,-0.019,0.15,0.705,0.162,3.16,67.146,47.336,43.371,67.146,635944576,2241.021,0.044,0.008,-0.038,1.843
Front_Alert_False_Traffic_14.mp4,Front_Collision,141,1382,0,1,0,0,1,1,0,1,1,3.054,0.573,0.573,4.315,-8.141,1.562,1.459,7.305,10.63,7.305,7.305,0.073,-1.034,54.246,41.817,54.246,52.255,1.545,1.545,0.687,1.604,1.282,8.749,0.219,8.747,1.421,-0.453,0.534,1.314,1.066,0.287,0.035,0.911,0.202,2.797,0.773,3.327,4.729,15.572,14.431,0,-7.856,-3.924,10.367,-0.462,0.546,-0.094,0.546,-0.094,3.288,-0.534,2.551,0.955,9.666,-0.146,0.532,0.002,0.562,0.136,0.519,0.003,0.056,0.003,0.08,0.006,3.142,0,-0.414,-0.039,0.56,0.72,0.05,3.801,54.196,46.318,46.318,54.196,448894112,2145.604,0.044,-0.006,0.239,3.064
Front_Alert_False_Slow_23.mp4,Front_Collision,44,521,0,1,0,0,0,1,0,1,1,3.142,5.842,4.961,8.916,-1.948,1.293,0.582,10.103,12.872,10.046,10.051,1.028,-0.343,54.157,42.73,54.295,52.691,1.306,1.347,0.546,1.246,1.155,10.778,1.416,10.688,7.295,-0.085,0.011,1.15,0.572,0.14,0.217,0.056,0.979,1.596,0.362,3.321,7.737,17.511,139.166,0,-7.961,-3.956,11.04,-0.075,1.755,-0.097,1.755,-0.097,8.842,-0.442,3.153,-0.738,14.434,-0.132,0.253,-0.076,0.854,0.056,0.539,0,0.052,0.003,0.093,0.003,3.142,0,-0.384,0.085,0.016,0.564,0.008,6.849,56.154,49.123,48.484,56.154,357266976,2413.212,0.037,-0.022,0.114,3.04
Front_Alert_False_58.mp4,Front_Collision,14,850,0,1,0,0,0,1,0,1,1,3.142,2.625,2.625,6.591,-5.785,1.516,0.727,7.023,9.602,7.023,7.016,0.322,-0.708,47.515,36.418,47.515,43.746,1.231,1.231,0.671,1.216,1.068,7.42,0.639,7.392,4.899,-0.194,0.185,1.175,0.46,0.129,0.019,3.598,0.278,1.365,0.376,3.259,5.703,56.223,37.448,0,-7.965,-3.979,8.039,-0.177,0.921,-0.08,0.921,-0.08,6.786,-0.539,0.358,-0.796,12.753,-0.229,0.042,-0.076,0.92,0.054,0.451,0.003,0.07,0.002,0.096,0.003,3.142,0,-0.183,-0.004,0.093,0.807,0.008,3.432,55.698,47.009,47.009,55.698,605363968,2210.103,0.047,0.035,0.108,3.096
Front_Alert_False_Traffic_56.mp4,Front_Collision,144,4054,0,1,0,0,0,1,0,0,1,3.142,19.048,7.644,25.675,2.661,1.377,0.938,3.653,14.226,3.653,3.453,1.192,0.17,48.41,29.78,49.099,42.64,3.471,3.471,0.735,1.239,1.173,4.363,1.553,4.078,20.845,-0.12,0.485,1.117,0.443,0.372,0.071,0.271,1.098,1.399,1.137,3.238,1.053,16.187,18.379,0,-7.956,-3.948,5.031,-0.191,1.906,-0.101,1.906,-0.101,22.532,-0.482,10.01,-1.004,32.899,-0.061,0.509,-0.007,2.14,0.157,0.45,0.006,0.147,0.003,0.148,0.005,3.142,0,-0.024,-0.027,0.115,0.674,0.075,7.714,68.69,51.349,49.67,68.69,266378384,2636.799,0.065,0.061,0.053,2.809
Front_Alert_False_Traffic_44.mp4,Front_Collision,176,3284,0,1,0,0,0,0,0,0,1,2.933,11.935,6.503,11.935,2.901,1.356,0.373,6.154,16.413,6.154,6.021,1.273,0.311,53.462,38.465,53.462,50.901,2.249,2.249,0.952,1.541,1.251,8.944,1.598,8.8,10.159,-0.848,0.046,1.101,2.126,0.393,0.123,1.335,1.18,6.028,1.049,3.186,2.736,6.33,4.944,0,-7.887,-3.921,12.259,-0.947,1.923,-0.093,1.923,-0.093,8.573,0.453,3.89,-0.16,13.175,1.015,0.194,-0.069,0.909,0.173,0.502,0.004,0.046,0.005,0.099,0.007,2.235,0,-0.657,-0.054,2.543,0.594,0.08,7.148,59.74,51.327,51.19,59.74,541436224,2634.624,-0.031,0.015,0.145,3.142
Front_Alert_False_Junction_94.mp4,Front_Collision,29,761,0,1,1,0,1,0,0,1,1,1.571,15.313,4.949,15.313,-5.087,1.506,0.483,7.038,11.907,7.038,6.789,1.859,-0.624,53.514,32.244,53.514,51.627,4.524,4.524,1.662,1.231,1.213,8.188,1.771,8.001,12.267,-0.108,0.183,1.249,0.499,0.487,0.036,1.974,1.833,1.417,1.39,3.174,1.556,18.185,35.148,0,-7.94,-3.909,8.91,-0.207,1.723,0.014,1.723,0.014,10.636,0.466,1.249,0.37,21.689,1.119,0.287,-0.03,2.666,0.194,0.508,0.003,0.115,0.008,0.165,0.005,-0.55,0.213,-0.077,-0.009,0.121,0.552,0.107,3.045,66.647,47.672,43.371,66.647,529042112,2272.893,0.032,0.004,-0.03,1.838
